seat_id,booking_id,screen_id,seat_number,seat_type,charges,status,,
ST_86,BK_8489,SC_108,D7,Regular,10,Booked,,
ST_87,BK_1582,SC_57,B7,Regular,10,Available,,
ST_88,BK_3563,SC_185,E12,Regular,10,Booked,,
ST_89,BK_2316,SC_124,B10,Regular,10,Booked,,
ST_90,BK_7563,SC_306,C17,Regular,10,Booked,,
ST_91,BK_5146,SC_390,E1,Regular,10,Available,,
ST_92,BK_3575,SC_207,D3,Regular,10,Booked,,
ST_93,BK_3427,SC_116,A4,VIP,50,Booked,,
ST_94,BK_4827,SC_676,E20,Premium,25,Booked,,
ST_95,BK_7865,SC_710,D2,Regular,10,Reserved,,
ST_96,BK_5567,SC_720,C7,Regular,10,Available,,
ST_97,BK_6417,SC_787,B17,Regular,10,Booked,,
ST_98,BK_7616,SC_583,A3,Regular,10,Booked,,
ST_99,BK_9192,SC_188,B16,Regular,10,Available,,
ST_100,BK_5783,SC_392,C3,Regular,10,Booked,,
ST_101,BK_3945,SC_274,B5,Regular,10,Available,,
ST_102,BK_2235,SC_124,C19,Regular,10,Available,,
ST_103,BK_2220,SC_211,C10,Regular,10,Reserved,,
ST_104,BK_993,SC_717,A6,Regular,10,Available,,
ST_105,BK_1668,SC_704,D8,Regular,10,Booked,,
ST_106,BK_2398,SC_706,C3,Regular,10,Reserved,,
ST_107,BK_8392,SC_325,C1,Premium,25,Booked,,
ST_108,BK_9399,SC_510,D20,Premium,25,Booked,,
ST_109,BK_776,SC_500,C15,Regular,10,Booked,,
ST_110,BK_9685,SC_24,E17,Regular,10,Booked,,
ST_111,BK_629,SC_53,A8,Regular,10,Booked,,
ST_112,BK_526,SC_809,C14,Premium,25,Booked,,
ST_113,BK_4724,SC_104,B15,Regular,10,Booked,,
ST_114,BK_2220,SC_561,D3,Regular,10,Available,,
ST_115,BK_4499,SC_348,E13,Regular,10,Booked,,
ST_116,BK_8064,SC_678,B13,Premium,25,Booked,,
ST_117,BK_2560,SC_316,E4,Regular,10,Booked,,
ST_118,BK_4381,SC_984,C3,Regular,10,Booked,,
ST_119,BK_4744,SC_445,D7,VIP,50,Reserved,,
ST_120,BK_6776,SC_87,D6,Premium,25,Booked,,
ST_121,BK_2985,SC_479,E5,Regular,10,Booked,,
ST_122,BK_1867,SC_581,C20,Premium,25,Booked,,
ST_123,BK_2721,SC_611,D4,Regular,10,Booked,,
ST_124,BK_3255,SC_735,D8,Regular,10,Booked,,
ST_125,BK_4026,SC_439,A3,Regular,10,Booked,,
ST_126,BK_3072,SC_57,E19,Regular,10,Booked,,
ST_127,BK_9377,SC_490,C12,VIP,50,Reserved,,
ST_128,BK_4594,SC_120,B19,Premium,25,Booked,,
ST_129,BK_7614,SC_459,B7,Premium,25,Available,,
ST_130,BK_6801,SC_150,E3,Regular,10,Available,,
ST_131,BK_1149,SC_578,E20,Premium,25,Available,,
ST_132,BK_6748,SC_146,A7,VIP,50,Reserved,,
ST_133,BK_5073,SC_750,C2,Premium,25,Booked,,
ST_134,BK_1465,SC_886,B15,Regular,10,Booked,,
ST_135,BK_248,SC_252,C19,Premium,25,Booked,,
ST_136,BK_5452,SC_754,D17,Regular,10,Booked,,
ST_137,BK_3305,SC_168,E11,Premium,25,Booked,,
ST_138,BK_4267,SC_583,E11,Regular,10,Booked,,
ST_139,BK_7123,SC_751,E6,Regular,10,Available,,
ST_140,BK_1833,SC_381,C9,Regular,10,Booked,,
ST_141,BK_8385,SC_643,C20,Premium,25,Booked,,
ST_142,BK_4855,SC_903,B19,VIP,50,Available,,
ST_143,BK_9795,SC_710,A20,Regular,10,Booked,,
ST_144,BK_19,SC_31,E13,Regular,10,Booked,,
ST_145,BK_1382,SC_856,B20,Regular,10,Reserved,,
ST_146,BK_836,SC_919,D8,Regular,10,Booked,,
ST_147,BK_2881,SC_584,C15,Regular,10,Available,,
ST_148,BK_5294,SC_735,D20,Regular,10,Booked,,
ST_149,BK_8641,SC_310,D2,Regular,10,Reserved,,
ST_150,BK_7016,SC_121,E19,Premium,25,Available,,
ST_151,BK_8437,SC_132,D9,Premium,25,Available,,
ST_152,BK_6065,SC_420,B17,Regular,10,Booked,,
ST_153,BK_1794,SC_826,C16,Premium,25,Available,,
ST_154,BK_1217,SC_229,C17,Regular,10,Booked,,
ST_155,BK_6397,SC_430,B1,Regular,10,Booked,,
ST_156,BK_550,SC_922,D4,Regular,10,Booked,,
ST_157,BK_8213,SC_709,D6,Regular,10,Reserved,,
ST_158,BK_1872,SC_564,D17,Regular,10,Available,,
ST_159,BK_7403,SC_247,A10,Regular,10,Booked,,
ST_160,BK_4139,SC_326,B5,VIP,50,Reserved,,
ST_161,BK_5052,SC_839,A20,Regular,10,Available,,
ST_162,BK_2871,SC_467,C18,Premium,25,Booked,,
ST_163,BK_5756,SC_424,E4,Premium,25,Booked,,
ST_164,BK_1329,SC_709,C20,Regular,10,Booked,,
ST_165,BK_6460,SC_72,D12,Regular,10,Booked,,
ST_166,BK_3534,SC_381,D8,Regular,10,Booked,,
ST_167,BK_8744,SC_91,C9,Regular,10,Booked,,
ST_168,BK_1532,SC_803,B18,Regular,10,Booked,,
ST_169,BK_2403,SC_347,C2,Regular,10,Available,,
ST_170,BK_195,SC_995,E2,Premium,25,Booked,,
ST_171,BK_133,SC_774,C6,Regular,10,Booked,,
ST_172,BK_9659,SC_692,D12,Regular,10,Booked,,
ST_173,BK_8384,SC_465,D7,Premium,25,Booked,,
ST_174,BK_8468,SC_52,C11,VIP,50,Available,,
ST_175,BK_5982,SC_904,D12,Regular,10,Available,,
ST_176,BK_1505,SC_655,B10,Regular,10,Booked,,
ST_177,BK_3111,SC_293,B17,Regular,10,Reserved,,
ST_178,BK_1537,SC_447,E18,VIP,50,Reserved,,
ST_179,BK_4079,SC_823,E20,Regular,10,Available,,
ST_180,BK_9361,SC_431,E10,Regular,10,Booked,,
ST_181,BK_4314,SC_950,A16,Regular,10,Available,,
ST_182,BK_8948,SC_137,D8,Regular,10,Booked,,
ST_183,BK_2098,SC_312,A14,Regular,10,Available,,
ST_184,BK_8940,SC_838,B10,Regular,10,Booked,,
ST_185,BK_6682,SC_140,E13,Regular,10,Available,,
ST_186,BK_6299,SC_50,E3,Premium,25,Booked,,
ST_187,BK_7003,SC_369,A12,Regular,10,Available,,
ST_188,BK_6250,SC_637,D2,VIP,50,Booked,,
ST_189,BK_5974,SC_721,C2,Regular,10,Booked,,
ST_190,BK_9859,SC_911,C13,Regular,10,Booked,,
ST_191,BK_361,SC_498,D10,Regular,10,Booked,,
ST_192,BK_2875,SC_852,E15,Regular,10,Reserved,,
ST_193,BK_4104,SC_877,B2,Regular,10,Booked,,
ST_194,BK_9018,SC_171,A11,VIP,50,Booked,,
ST_195,BK_7459,SC_306,D19,Regular,10,Reserved,,
ST_196,BK_5033,SC_63,B6,VIP,50,Booked,,
ST_197,BK_5075,SC_368,B13,Regular,10,Available,,
ST_198,BK_2983,SC_725,D6,Regular,10,Booked,,
ST_199,BK_2229,SC_615,B18,Regular,10,Booked,,
ST_200,BK_5449,SC_27,A3,VIP,50,Booked,,
ST_201,BK_9517,SC_519,A5,Premium,25,Booked,,
ST_202,BK_7166,SC_251,E17,Premium,25,Booked,,
ST_203,BK_136,SC_918,C11,Regular,10,Booked,,
ST_204,BK_9045,SC_283,A3,Premium,25,Booked,,
ST_205,BK_8668,SC_271,A18,Regular,10,Booked,,
ST_206,BK_3070,SC_964,D18,Premium,25,Booked,,
ST_207,BK_9088,SC_430,B10,Premium,25,Booked,,
ST_208,BK_4495,SC_44,A1,Regular,10,Available,,
ST_209,BK_9879,SC_171,C14,Premium,25,Booked,,
ST_210,BK_4604,SC_788,D7,Regular,10,Booked,,
ST_211,BK_3378,SC_986,C17,Regular,10,Booked,,
ST_212,BK_6057,SC_76,C12,Regular,10,Booked,,
ST_213,BK_6444,SC_63,B14,Regular,10,Booked,,
ST_214,BK_3539,SC_310,D6,Regular,10,Booked,,
ST_215,BK_4552,SC_554,B3,Regular,10,Booked,,
ST_216,BK_7086,SC_776,E20,Regular,10,Reserved,,
ST_217,BK_1653,SC_192,D12,Premium,25,Available,,
ST_218,BK_3070,SC_560,E9,Premium,25,Booked,,
ST_219,BK_5719,SC_866,B19,Regular,10,Booked,,
ST_220,BK_3131,SC_416,A13,Premium,25,Booked,,
ST_221,BK_2099,SC_639,C7,Regular,10,Booked,,
ST_222,BK_9569,SC_772,D19,Premium,25,Booked,,
ST_223,BK_5801,SC_808,D15,Regular,10,Booked,,
ST_224,BK_6662,SC_319,E3,Regular,10,Booked,,
ST_225,BK_5154,SC_501,D15,Regular,10,Booked,,
ST_226,BK_8859,SC_45,C9,Premium,25,Booked,,
ST_227,BK_8336,SC_126,C2,Regular,10,Available,,
ST_228,BK_2502,SC_1000,B3,Regular,10,Booked,,
ST_229,BK_9140,SC_965,B16,Regular,10,Available,,
ST_230,BK_624,SC_346,A13,VIP,50,Available,,
ST_231,BK_6558,SC_395,E1,Premium,25,Booked,,
ST_232,BK_7293,SC_252,A5,Regular,10,Booked,,
ST_233,BK_6941,SC_658,D20,Premium,25,Booked,,
ST_234,BK_7614,SC_599,B14,Regular,10,Booked,,
ST_235,BK_5675,SC_46,B17,Regular,10,Reserved,,
ST_236,BK_934,SC_803,A16,VIP,50,Available,,
ST_237,BK_6116,SC_896,B11,Premium,25,Booked,,
ST_238,BK_2396,SC_621,A8,Regular,10,Booked,,
ST_239,BK_1337,SC_861,C1,Regular,10,Booked,,
ST_240,BK_5137,SC_212,B15,Premium,25,Booked,,
ST_241,BK_841,SC_424,A5,VIP,50,Reserved,,
ST_242,BK_147,SC_902,A20,Regular,10,Booked,,
ST_243,BK_9796,SC_54,C16,Regular,10,Booked,,
ST_244,BK_7088,SC_669,C12,Regular,10,Booked,,
ST_245,BK_5282,SC_101,A9,Regular,10,Booked,,
ST_246,BK_3091,SC_565,C18,Regular,10,Booked,,
ST_247,BK_6237,SC_680,D19,Regular,10,Booked,,
ST_248,BK_4844,SC_499,B10,Premium,25,Booked,,
ST_249,BK_9700,SC_154,E5,Regular,10,Booked,,
ST_250,BK_9478,SC_491,A2,Regular,10,Reserved,,
ST_251,BK_5052,SC_644,E6,Regular,10,Booked,,
ST_252,BK_9895,SC_336,E6,Premium,25,Reserved,,
ST_253,BK_619,SC_674,E1,Regular,10,Available,,
ST_254,BK_2312,SC_608,B18,Regular,10,Available,,
ST_255,BK_6734,SC_884,C13,Premium,25,Available,,
ST_256,BK_8903,SC_119,B10,Regular,10,Reserved,,
ST_257,BK_1253,SC_266,E7,Regular,10,Booked,,
ST_258,BK_597,SC_83,D5,Regular,10,Booked,,
ST_259,BK_8474,SC_202,A6,Premium,25,Booked,,
ST_260,BK_8710,SC_352,E15,Premium,25,Booked,,
ST_261,BK_4925,SC_928,A16,VIP,50,Available,,
ST_262,BK_6325,SC_621,B20,Regular,10,Available,,
ST_263,BK_7496,SC_107,A15,Regular,10,Booked,,
ST_264,BK_553,SC_354,B2,Regular,10,Available,,
ST_265,BK_5620,SC_642,E2,Regular,10,Booked,,
ST_266,BK_9999,SC_242,C5,Premium,25,Booked,,
ST_267,BK_2238,SC_729,A3,Regular,10,Booked,,
ST_268,BK_8062,SC_158,A1,Premium,25,Booked,,
ST_269,BK_689,SC_216,D7,Premium,25,Booked,,
ST_270,BK_5346,SC_122,B13,Regular,10,Booked,,
ST_271,BK_7698,SC_371,D8,Regular,10,Booked,,
ST_272,BK_6728,SC_327,A13,VIP,50,Reserved,,
ST_273,BK_9462,SC_153,E13,Regular,10,Booked,,
ST_274,BK_7861,SC_720,D16,Regular,10,Available,,
ST_275,BK_3690,SC_488,E15,Regular,10,Available,,
ST_276,BK_7986,SC_919,B19,Premium,25,Booked,,
ST_277,BK_7339,SC_297,C3,Premium,25,Booked,,
ST_278,BK_5988,SC_89,A3,Premium,25,Booked,,
ST_279,BK_3343,SC_915,C10,Premium,25,Reserved,,
ST_280,BK_8689,SC_151,D2,Regular,10,Booked,,
ST_281,BK_3398,SC_638,B5,Premium,25,Booked,,
ST_282,BK_8248,SC_874,C13,Regular,10,Booked,,
ST_283,BK_5666,SC_275,C13,Regular,10,Booked,,
ST_284,BK_2533,SC_813,E16,Regular,10,Booked,,
ST_285,BK_3563,SC_237,C13,Regular,10,Booked,,
ST_286,BK_2260,SC_166,A15,Regular,10,Available,,
ST_287,BK_1407,SC_443,E2,Regular,10,Booked,,
ST_288,BK_6523,SC_996,B13,Regular,10,Available,,
ST_289,BK_581,SC_480,E16,Regular,10,Booked,,
ST_290,BK_2042,SC_97,B4,Regular,10,Available,,
ST_291,BK_5612,SC_910,A16,Regular,10,Available,,
ST_292,BK_2690,SC_877,D4,Regular,10,Reserved,,
ST_293,BK_6911,SC_185,A6,Regular,10,Reserved,,
ST_294,BK_5350,SC_958,B13,Regular,10,Booked,,
ST_295,BK_7042,SC_296,A13,Premium,25,Booked,,
ST_296,BK_6588,SC_439,C1,VIP,50,Reserved,,
ST_297,BK_561,SC_204,D8,VIP,50,Booked,,
ST_298,BK_1428,SC_522,E7,Premium,25,Booked,,
ST_299,BK_8296,SC_243,C12,Regular,10,Booked,,
ST_300,BK_1484,SC_723,A15,Premium,25,Booked,,
ST_301,BK_5997,SC_634,C8,Regular,10,Available,,
ST_302,BK_1685,SC_245,C7,Premium,25,Reserved,,
ST_303,BK_7838,SC_739,C5,Regular,10,Booked,,
ST_304,BK_5242,SC_630,D12,Regular,10,Booked,,
ST_305,BK_2906,SC_976,D4,Premium,25,Booked,,
ST_306,BK_3546,SC_32,A8,Regular,10,Available,,
ST_307,BK_8608,SC_464,D3,Regular,10,Available,,
ST_308,BK_4145,SC_57,C17,Regular,10,Reserved,,
ST_309,BK_4673,SC_483,C16,Regular,10,Booked,,
ST_310,BK_9552,SC_560,D2,Regular,10,Booked,,
ST_311,BK_5357,SC_149,D13,Regular,10,Booked,,
ST_312,BK_128,SC_728,C20,VIP,50,Booked,,
ST_313,BK_4587,SC_306,A13,VIP,50,Booked,,
ST_314,BK_6657,SC_901,E11,Regular,10,Booked,,
ST_315,BK_8880,SC_526,C11,VIP,50,Available,,
ST_316,BK_5492,SC_310,E19,Premium,25,Booked,,
ST_317,BK_3465,SC_246,B19,Regular,10,Booked,,
ST_318,BK_1518,SC_398,C8,Premium,25,Booked,,
ST_319,BK_9207,SC_135,D7,Regular,10,Booked,,
ST_320,BK_7718,SC_599,D12,Regular,10,Booked,,
ST_321,BK_1042,SC_750,C7,Regular,10,Booked,,
ST_322,BK_4837,SC_918,E18,Regular,10,Reserved,,
ST_323,BK_3837,SC_6,B12,Regular,10,Available,,
ST_324,BK_3191,SC_391,B5,Regular,10,Booked,,
ST_325,BK_6510,SC_202,D11,Regular,10,Booked,,
ST_326,BK_8015,SC_116,A15,Regular,10,Booked,,
ST_327,BK_8333,SC_293,B3,Premium,25,Reserved,,
ST_328,BK_7681,SC_94,A10,Premium,25,Reserved,,
ST_329,BK_6088,SC_35,E10,Regular,10,Booked,,
ST_330,BK_5293,SC_552,C20,Premium,25,Reserved,,
ST_331,BK_9444,SC_648,E9,Regular,10,Booked,,
ST_332,BK_6578,SC_848,D7,Regular,10,Booked,,
ST_333,BK_5135,SC_347,E14,Regular,10,Booked,,
ST_334,BK_1392,SC_764,B17,Premium,25,Booked,,
ST_335,BK_374,SC_650,D9,Regular,10,Reserved,,
ST_336,BK_5747,SC_909,A15,Premium,25,Booked,,
ST_337,BK_2536,SC_735,D19,Premium,25,Booked,,
ST_338,BK_1057,SC_917,B6,Premium,25,Available,,
ST_339,BK_9729,SC_646,A3,Regular,10,Booked,,
ST_340,BK_8693,SC_584,C2,Regular,10,Available,,
ST_341,BK_4434,SC_226,B17,Regular,10,Booked,,
ST_342,BK_8031,SC_426,D18,Premium,25,Available,,
ST_343,BK_3267,SC_941,E12,Regular,10,Booked,,
ST_344,BK_6498,SC_876,D6,Premium,25,Booked,,
ST_345,BK_1981,SC_857,A11,Regular,10,Booked,,
ST_346,BK_7796,SC_612,C18,Premium,25,Booked,,
ST_347,BK_2889,SC_925,C3,VIP,50,Booked,,
ST_348,BK_7863,SC_96,B12,Regular,10,Booked,,
ST_349,BK_7022,SC_759,E6,Regular,10,Booked,,
ST_350,BK_7659,SC_213,C8,Regular,10,Booked,,
ST_351,BK_6722,SC_313,D17,Regular,10,Available,,
ST_352,BK_825,SC_103,E13,Regular,10,Booked,,
ST_353,BK_9082,SC_312,B14,Premium,25,Available,,
ST_354,BK_4215,SC_55,C8,Premium,25,Booked,,
ST_355,BK_6261,SC_953,E11,Premium,25,Booked,,
ST_356,BK_7673,SC_283,C1,Premium,25,Booked,,
ST_357,BK_7723,SC_778,C11,Regular,10,Booked,,
ST_358,BK_5998,SC_44,A4,Premium,25,Booked,,
ST_359,BK_9430,SC_762,A6,Premium,25,Booked,,
ST_360,BK_8693,SC_367,C7,Regular,10,Available,,
ST_361,BK_1651,SC_209,D5,Regular,10,Booked,,
ST_362,BK_3704,SC_432,D19,Regular,10,Reserved,,
ST_363,BK_5539,SC_154,C7,Regular,10,Booked,,
ST_364,BK_5885,SC_492,C19,Regular,10,Booked,,
ST_365,BK_6381,SC_296,D2,Premium,25,Available,,
ST_366,BK_225,SC_23,E14,Regular,10,Available,,
ST_367,BK_7054,SC_719,A9,Regular,10,Available,,
ST_368,BK_3757,SC_672,D6,VIP,50,Booked,,
ST_369,BK_9870,SC_200,E2,Regular,10,Booked,,
ST_370,BK_5934,SC_209,B1,Regular,10,Booked,,
ST_371,BK_9196,SC_276,A8,Regular,10,Booked,,
ST_372,BK_7965,SC_613,D10,Premium,25,Available,,
ST_373,BK_943,SC_875,C4,Regular,10,Available,,
ST_374,BK_3792,SC_56,D17,Regular,10,Booked,,
ST_375,BK_9513,SC_265,D17,Regular,10,Booked,,
ST_376,BK_9393,SC_830,C10,Regular,10,Available,,
ST_377,BK_4168,SC_290,B3,VIP,50,Booked,,
ST_378,BK_2668,SC_576,B10,Regular,10,Booked,,
ST_379,BK_1634,SC_997,E1,Regular,10,Booked,,
ST_380,BK_9196,SC_755,E16,Regular,10,Booked,,
ST_381,BK_6976,SC_401,C20,Regular,10,Booked,,
ST_382,BK_3516,SC_839,B12,Regular,10,Booked,,
ST_383,BK_1314,SC_717,A3,Regular,10,Booked,,
ST_384,BK_8700,SC_971,D10,Regular,10,Booked,,
ST_385,BK_3047,SC_113,C16,Regular,10,Available,,
ST_386,BK_8201,SC_591,A1,Premium,25,Booked,,
ST_387,BK_4982,SC_912,B7,Premium,25,Booked,,
ST_388,BK_8734,SC_849,D5,Regular,10,Booked,,
ST_389,BK_9743,SC_636,A5,Regular,10,Available,,
ST_390,BK_4742,SC_609,B3,Premium,25,Booked,,
ST_391,BK_7070,SC_362,C12,Premium,25,Booked,,
ST_392,BK_6439,SC_735,D6,Regular,10,Booked,,
ST_393,BK_7113,SC_489,B10,Premium,25,Booked,,
ST_394,BK_9433,SC_13,D8,Premium,25,Reserved,,
ST_395,BK_8283,SC_728,C6,Regular,10,Booked,,
ST_396,BK_1434,SC_341,C11,Regular,10,Booked,,
ST_397,BK_2933,SC_860,C8,Premium,25,Available,,
ST_398,BK_9680,SC_71,E17,VIP,50,Booked,,
ST_399,BK_3911,SC_905,C5,Regular,10,Booked,,
ST_400,BK_615,SC_633,C9,Regular,10,Booked,,
ST_401,BK_6031,SC_988,E14,Regular,10,Reserved,,
ST_402,BK_2504,SC_893,B19,Regular,10,Booked,,
ST_403,BK_9310,SC_946,D12,Regular,10,Reserved,,
ST_404,BK_4228,SC_270,A19,Regular,10,Booked,,
ST_405,BK_413,SC_658,C6,Regular,10,Reserved,,
ST_406,BK_7773,SC_80,C19,Regular,10,Booked,,
ST_407,BK_4714,SC_996,C4,Regular,10,Booked,,
ST_408,BK_6554,SC_868,E9,Regular,10,Booked,,
ST_409,BK_6204,SC_808,B14,Premium,25,Available,,
ST_410,BK_9456,SC_130,C16,Regular,10,Booked,,
ST_411,BK_3040,SC_374,B3,Premium,25,Booked,,
ST_412,BK_6611,SC_700,E3,Premium,25,Booked,,
ST_413,BK_6159,SC_601,D18,VIP,50,Booked,,
ST_414,BK_9063,SC_595,E10,Regular,10,Booked,,
ST_415,BK_8212,SC_32,D10,VIP,50,Booked,,
ST_416,BK_4799,SC_268,A15,Regular,10,Booked,,
ST_417,BK_2207,SC_561,E8,Premium,25,Booked,,
ST_418,BK_3172,SC_775,C13,Premium,25,Booked,,
ST_419,BK_6413,SC_482,E14,Premium,25,Available,,
ST_420,BK_2779,SC_627,A4,Regular,10,Booked,,
ST_421,BK_1202,SC_141,C6,VIP,50,Available,,
ST_422,BK_6625,SC_536,C1,Premium,25,Booked,,
ST_423,BK_844,SC_949,E13,VIP,50,Booked,,
ST_424,BK_4476,SC_929,D1,Regular,10,Booked,,
ST_425,BK_9786,SC_301,D20,Regular,10,Booked,,
ST_426,BK_2211,SC_413,C8,Regular,10,Reserved,,
ST_427,BK_7181,SC_669,A20,Regular,10,Available,,
ST_428,BK_6989,SC_50,C2,Regular,10,Booked,,
ST_429,BK_1531,SC_54,B13,Regular,10,Booked,,
ST_430,BK_3871,SC_885,E9,Regular,10,Booked,,
ST_431,BK_2520,SC_66,D10,Regular,10,Booked,,
ST_432,BK_9463,SC_181,D9,VIP,50,Booked,,
ST_433,BK_5011,SC_647,B19,Regular,10,Booked,,
ST_434,BK_9943,SC_809,B1,Regular,10,Booked,,
ST_435,BK_9466,SC_601,B19,Regular,10,Reserved,,
ST_436,BK_2970,SC_434,B17,Premium,25,Booked,,
ST_437,BK_6008,SC_55,D18,Regular,10,Reserved,,
ST_438,BK_4368,SC_936,B9,Regular,10,Available,,
ST_439,BK_1816,SC_644,D14,Regular,10,Booked,,
ST_440,BK_2366,SC_171,E10,Regular,10,Booked,,
ST_441,BK_5836,SC_625,C3,Regular,10,Available,,
ST_442,BK_4085,SC_558,D6,Regular,10,Available,,
ST_443,BK_9300,SC_656,B17,Premium,25,Reserved,,
ST_444,BK_2405,SC_580,C16,Regular,10,Booked,,
ST_445,BK_3740,SC_970,A12,Regular,10,Booked,,
ST_446,BK_8385,SC_617,E1,Premium,25,Available,,
ST_447,BK_2066,SC_108,E9,Regular,10,Booked,,
ST_448,BK_1148,SC_850,C18,Regular,10,Booked,,
ST_449,BK_6736,SC_655,A4,Regular,10,Booked,,
ST_450,BK_3603,SC_554,A13,Premium,25,Available,,
ST_451,BK_7649,SC_493,C15,VIP,50,Booked,,
ST_452,BK_9117,SC_281,E10,Regular,10,Available,,
