theater_id,name,location,city,state,,,
TH_141,Carnival Cinemas,Amritsar 161,Amritsar,Punjab,,,
TH_142,Wave Cinemas,Ajmer 210,Ajmer,Rajasthan,,,
TH_143,Carnival Cinemas,Indore 469,Indore,Madhya Pradesh,,,
TH_144,PVR Cinemas,Pune 485,Pune,Maharashtra,,,
TH_145,Miraj Cinemas,Madurai 339,Madurai,Tamil Nadu,,,
TH_146,Miraj Cinemas,Bangalore 422,Bangalore,Karnataka,,,
TH_147,Carnival Cinemas,Howrah 485,Howrah,West Bengal,,,
TH_148,Wave Cinemas,Belgaum 247,Belgaum,Karnataka,,,
TH_149,Carnival Cinemas,Tiruchirappalli 93,Tiruchirappalli,Tamil Nadu,,,
TH_150,INOX,Asansol 355,Asansol,West Bengal,,,
TH_151,Miraj Cinemas,Jabalpur 244,Jabalpur,Madhya Pradesh,,,
TH_152,Carnival Cinemas,Bhavnagar 294,Bhavnagar,Gujarat,,,
TH_153,Carnival Cinemas,Lucknow 496,Lucknow,Uttar Pradesh,,,
TH_154,INOX,Hubli 377,Hubli,Karnataka,,,
TH_155,Carnival Cinemas,Rajkot 69,Rajkot,Gujarat,,,
TH_156,Carnival Cinemas,Bangalore 146,Bangalore,Karnataka,,,
TH_157,INOX,Ludhiana 43,Ludhiana,Punjab,,,
TH_158,INOX,Pune 245,Pune,Maharashtra,,,
TH_159,Miraj Cinemas,Jabalpur 393,Jabalpur,Madhya Pradesh,,,
TH_160,Wave Cinemas,Kota 238,Kota,Rajasthan,,,
TH_161,Carnival Cinemas,Coimbatore 351,Coimbatore,Tamil Nadu,,,
TH_162,INOX,Nagpur 138,Nagpur,Maharashtra,,,
TH_163,PVR Cinemas,Meerut 84,Meerut,Uttar Pradesh,,,
TH_164,Carnival Cinemas,Surat 185,Surat,Gujarat,,,
TH_165,Cinepolis,Mysore 187,Mysore,Karnataka,,,
TH_166,PVR Cinemas,Madurai 408,Madurai,Tamil Nadu,,,
TH_167,PVR Cinemas,Mysore 63,Mysore,Karnataka,,,
TH_168,Wave Cinemas,Patiala 423,Patiala,Punjab,,,
TH_169,PVR Cinemas,Coimbatore 490,Coimbatore,Tamil Nadu,,,
TH_170,PVR Cinemas,Jodhpur 320,Jodhpur,Rajasthan,,,
TH_171,Wave Cinemas,Tiruchirappalli 100,Tiruchirappalli,Tamil Nadu,,,
TH_172,Carnival Cinemas,Amritsar 437,Amritsar,Punjab,,,
TH_173,Carnival Cinemas,Bhopal 188,Bhopal,Madhya Pradesh,,,
TH_174,Miraj Cinemas,Rajkot 269,Rajkot,Gujarat,,,
TH_175,Wave Cinemas,Coimbatore 453,Coimbatore,Tamil Nadu,,,
TH_176,Cinepolis,Bangalore 92,Bangalore,Karnataka,,,
TH_177,Wave Cinemas,Coimbatore 98,Coimbatore,Tamil Nadu,,,
TH_178,Miraj Cinemas,Jabalpur 382,Jabalpur,Madhya Pradesh,,,
TH_179,Wave Cinemas,Thane 409,Thane,Maharashtra,,,
TH_180,Wave Cinemas,Tiruchirappalli 73,Tiruchirappalli,Tamil Nadu,,,
TH_181,Carnival Cinemas,Pune 10,Pune,Maharashtra,,,
TH_182,INOX,Jalandhar 28,Jalandhar,Punjab,,,
TH_183,INOX,Siliguri 429,Siliguri,West Bengal,,,
TH_184,Wave Cinemas,Howrah 459,Howrah,West Bengal,,,
TH_185,INOX,Madurai 195,Madurai,Tamil Nadu,,,
TH_186,Carnival Cinemas,Nashik 92,Nashik,Maharashtra,,,
TH_187,PVR Cinemas,Kolkata 125,Kolkata,West Bengal,,,
TH_188,INOX,Bhagalpur 134,Bhagalpur,Bihar,,,
TH_189,INOX,Pune 397,Pune,Maharashtra,,,
TH_190,Carnival Cinemas,Ludhiana 219,Ludhiana,Punjab,,,
TH_191,INOX,Amritsar 426,Amritsar,Punjab,,,
TH_192,Cinepolis,Hubli 362,Hubli,Karnataka,,,
TH_193,Wave Cinemas,Jalandhar 149,Jalandhar,Punjab,,,
TH_194,INOX,Agra 162,Agra,Uttar Pradesh,,,
TH_195,Miraj Cinemas,Patna 194,Patna,Bihar,,,
TH_196,Miraj Cinemas,Jodhpur 339,Jodhpur,Rajasthan,,,
TH_197,Wave Cinemas,Chennai 239,Chennai,Tamil Nadu,,,
TH_198,Miraj Cinemas,Belgaum 94,Belgaum,Karnataka,,,
TH_199,Miraj Cinemas,Meerut 391,Meerut,Uttar Pradesh,,,
TH_200,Wave Cinemas,Belgaum 291,Belgaum,Karnataka,,,
TH_201,INOX,Amritsar 148,Amritsar,Punjab,,,
TH_202,Cinepolis,Durgapur 145,Durgapur,West Bengal,,,
TH_203,Carnival Cinemas,Siliguri 466,Siliguri,West Bengal,,,
TH_204,PVR Cinemas,Indore 80,Indore,Madhya Pradesh,,,
TH_205,Miraj Cinemas,Udaipur 408,Udaipur,Rajasthan,,,
TH_206,Carnival Cinemas,Kolkata 178,Kolkata,West Bengal,,,
TH_207,Cinepolis,Madurai 410,Madurai,Tamil Nadu,,,
TH_208,Carnival Cinemas,Madurai 214,Madurai,Tamil Nadu,,,
TH_209,Wave Cinemas,Bhavnagar 449,Bhavnagar,Gujarat,,,
TH_210,Carnival Cinemas,Siliguri 416,Siliguri,West Bengal,,,
TH_211,Carnival Cinemas,Ujjain 271,Ujjain,Madhya Pradesh,,,
TH_212,Wave Cinemas,Bhopal 492,Bhopal,Madhya Pradesh,,,
TH_213,Cinepolis,Ahmedabad 463,Ahmedabad,Gujarat,,,
TH_214,PVR Cinemas,Jabalpur 1,Jabalpur,Madhya Pradesh,,,
TH_215,INOX,Ludhiana 333,Ludhiana,Punjab,,,
TH_216,Carnival Cinemas,Gaya 292,Gaya,Bihar,,,
TH_217,Cinepolis,Surat 249,Surat,Gujarat,,,
TH_218,Cinepolis,Ahmedabad 82,Ahmedabad,Gujarat,,,
TH_219,PVR Cinemas,Asansol 77,Asansol,West Bengal,,,
TH_220,Miraj Cinemas,Pune 297,Pune,Maharashtra,,,
TH_221,Cinepolis,Asansol 456,Asansol,West Bengal,,,
TH_222,INOX,Mumbai 212,Mumbai,Maharashtra,,,
TH_223,Miraj Cinemas,Jalandhar 119,Jalandhar,Punjab,,,
TH_224,Wave Cinemas,Tiruchirappalli 415,Tiruchirappalli,Tamil Nadu,,,
TH_225,Miraj Cinemas,Mangalore 471,Mangalore,Karnataka,,,
TH_226,Cinepolis,Patiala 89,Patiala,Punjab,,,
TH_227,Carnival Cinemas,Siliguri 105,Siliguri,West Bengal,,,
TH_228,PVR Cinemas,Ujjain 301,Ujjain,Madhya Pradesh,,,
TH_229,Cinepolis,Kolkata 277,Kolkata,West Bengal,,,
TH_230,Cinepolis,Mangalore 382,Mangalore,Karnataka,,,
TH_231,Wave Cinemas,Lucknow 252,Lucknow,Uttar Pradesh,,,
TH_232,Wave Cinemas,Siliguri 44,Siliguri,West Bengal,,,
TH_233,Wave Cinemas,Madurai 254,Madurai,Tamil Nadu,,,
TH_234,Wave Cinemas,Durgapur 161,Durgapur,West Bengal,,,
TH_235,Carnival Cinemas,Amritsar 166,Amritsar,Punjab,,,
TH_236,Cinepolis,Ajmer 257,Ajmer,Rajasthan,,,
TH_237,PVR Cinemas,Salem 158,Salem,Tamil Nadu,,,
TH_238,Cinepolis,Gwalior 479,Gwalior,Madhya Pradesh,,,
TH_239,Cinepolis,Belgaum 490,Belgaum,Karnataka,,,
TH_240,Miraj Cinemas,Durgapur 412,Durgapur,West Bengal,,,
TH_241,Carnival Cinemas,Asansol 143,Asansol,West Bengal,,,
TH_242,Miraj Cinemas,Howrah 37,Howrah,West Bengal,,,
TH_243,PVR Cinemas,Coimbatore 75,Coimbatore,Tamil Nadu,,,
TH_244,INOX,Gwalior 433,Gwalior,Madhya Pradesh,,,
TH_245,PVR Cinemas,Tiruchirappalli 184,Tiruchirappalli,Tamil Nadu,,,
TH_246,PVR Cinemas,Muzaffarpur 285,Muzaffarpur,Bihar,,,
TH_247,INOX,Mumbai 162,Mumbai,Maharashtra,,,
TH_248,INOX,Kolkata 329,Kolkata,West Bengal,,,
TH_249,Carnival Cinemas,Bhopal 62,Bhopal,Madhya Pradesh,,,
TH_250,Miraj Cinemas,Muzaffarpur 155,Muzaffarpur,Bihar,,,
TH_251,Wave Cinemas,Amritsar 464,Amritsar,Punjab,,,
TH_252,Cinepolis,Kanpur 497,Kanpur,Uttar Pradesh,,,
TH_253,Cinepolis,Patiala 175,Patiala,Punjab,,,
TH_254,INOX,Ahmedabad 130,Ahmedabad,Gujarat,,,
TH_255,Cinepolis,Jabalpur 452,Jabalpur,Madhya Pradesh,,,
TH_256,PVR Cinemas,Madurai 449,Madurai,Tamil Nadu,,,
TH_257,INOX,Ludhiana 66,Ludhiana,Punjab,,,
TH_258,PVR Cinemas,Mangalore 171,Mangalore,Karnataka,,,
TH_259,Cinepolis,Indore 467,Indore,Madhya Pradesh,,,
TH_260,Miraj Cinemas,Bathinda 9,Bathinda,Punjab,,,
TH_261,Wave Cinemas,Varanasi 425,Varanasi,Uttar Pradesh,,,
TH_262,Miraj Cinemas,Patiala 449,Patiala,Punjab,,,
TH_263,Cinepolis,Asansol 420,Asansol,West Bengal,,,
TH_264,PVR Cinemas,Muzaffarpur 304,Muzaffarpur,Bihar,,,
TH_265,Miraj Cinemas,Ajmer 112,Ajmer,Rajasthan,,,
TH_266,PVR Cinemas,Mangalore 423,Mangalore,Karnataka,,,
TH_267,INOX,Udaipur 75,Udaipur,Rajasthan,,,
TH_268,Wave Cinemas,Amritsar 337,Amritsar,Punjab,,,
TH_269,Cinepolis,Kanpur 379,Kanpur,Uttar Pradesh,,,
TH_270,Cinepolis,Bhavnagar 477,Bhavnagar,Gujarat,,,
TH_271,Wave Cinemas,Kanpur 442,Kanpur,Uttar Pradesh,,,
TH_272,Cinepolis,Surat 17,Surat,Gujarat,,,
TH_273,PVR Cinemas,Agra 121,Agra,Uttar Pradesh,,,
TH_274,Cinepolis,Thane 156,Thane,Maharashtra,,,
TH_275,INOX,Amritsar 143,Amritsar,Punjab,,,
TH_276,Miraj Cinemas,Kota 236,Kota,Rajasthan,,,
TH_277,INOX,Pune 222,Pune,Maharashtra,,,
TH_278,INOX,Gwalior 235,Gwalior,Madhya Pradesh,,,
TH_279,INOX,Ujjain 375,Ujjain,Madhya Pradesh,,,
TH_280,Cinepolis,Howrah 218,Howrah,West Bengal,,,
TH_281,Miraj Cinemas,Gwalior 198,Gwalior,Madhya Pradesh,,,
TH_282,Cinepolis,Durgapur 225,Durgapur,West Bengal,,,
TH_283,PVR Cinemas,Durgapur 3,Durgapur,West Bengal,,,
TH_284,INOX,Jabalpur 497,Jabalpur,Madhya Pradesh,,,
TH_285,PVR Cinemas,Gwalior 147,Gwalior,Madhya Pradesh,,,
TH_286,INOX,Lucknow 476,Lucknow,Uttar Pradesh,,,
TH_287,Wave Cinemas,Amritsar 481,Amritsar,Punjab,,,
TH_288,Cinepolis,Durgapur 138,Durgapur,West Bengal,,,
TH_289,PVR Cinemas,Amritsar 451,Amritsar,Punjab,,,
TH_290,Wave Cinemas,Ahmedabad 443,Ahmedabad,Gujarat,,,
TH_291,Carnival Cinemas,Salem 129,Salem,Tamil Nadu,,,
TH_292,PVR Cinemas,Bangalore 420,Bangalore,Karnataka,,,
TH_293,INOX,Ahmedabad 229,Ahmedabad,Gujarat,,,
TH_294,INOX,Amritsar 236,Amritsar,Punjab,,,
TH_295,INOX,Ujjain 485,Ujjain,Madhya Pradesh,,,
TH_296,Cinepolis,Mangalore 339,Mangalore,Karnataka,,,
TH_297,Miraj Cinemas,Mysore 175,Mysore,Karnataka,,,
TH_298,PVR Cinemas,Coimbatore 44,Coimbatore,Tamil Nadu,,,
TH_299,PVR Cinemas,Pune 393,Pune,Maharashtra,,,
TH_300,Miraj Cinemas,Muzaffarpur 211,Muzaffarpur,Bihar,,,
TH_301,Cinepolis,Jaipur 40,Jaipur,Rajasthan,,,
TH_302,Wave Cinemas,Howrah 340,Howrah,West Bengal,,,
TH_303,INOX,Amritsar 288,Amritsar,Punjab,,,
TH_304,Cinepolis,Bathinda 62,Bathinda,Punjab,,,
TH_305,INOX,Hubli 15,Hubli,Karnataka,,,
TH_306,Cinepolis,Jabalpur 180,Jabalpur,Madhya Pradesh,,,
TH_307,Cinepolis,Muzaffarpur 498,Muzaffarpur,Bihar,,,
TH_308,INOX,Bhagalpur 429,Bhagalpur,Bihar,,,
TH_309,Cinepolis,Mumbai 424,Mumbai,Maharashtra,,,
TH_310,Carnival Cinemas,Jabalpur 174,Jabalpur,Madhya Pradesh,,,
TH_311,INOX,Lucknow 360,Lucknow,Uttar Pradesh,,,
TH_312,PVR Cinemas,Patna 10,Patna,Bihar,,,
TH_313,Miraj Cinemas,Kolkata 402,Kolkata,West Bengal,,,
TH_314,Wave Cinemas,Salem 131,Salem,Tamil Nadu,,,
TH_315,Cinepolis,Bangalore 431,Bangalore,Karnataka,,,
TH_316,PVR Cinemas,Ludhiana 291,Ludhiana,Punjab,,,
TH_317,PVR Cinemas,Gaya 28,Gaya,Bihar,,,
TH_318,INOX,Gaya 355,Gaya,Bihar,,,
TH_319,PVR Cinemas,Gwalior 197,Gwalior,Madhya Pradesh,,,
TH_320,Miraj Cinemas,Howrah 419,Howrah,West Bengal,,,
TH_321,PVR Cinemas,Patna 87,Patna,Bihar,,,
TH_322,INOX,Bhavnagar 423,Bhavnagar,Gujarat,,,
TH_323,Wave Cinemas,Tiruchirappalli 373,Tiruchirappalli,Tamil Nadu,,,
TH_324,Carnival Cinemas,Bangalore 452,Bangalore,Karnataka,,,
TH_325,PVR Cinemas,Purnia 431,Purnia,Bihar,,,
TH_326,Cinepolis,Nashik 172,Nashik,Maharashtra,,,
TH_327,Wave Cinemas,Mangalore 465,Mangalore,Karnataka,,,
TH_328,Carnival Cinemas,Nagpur 217,Nagpur,Maharashtra,,,
TH_329,Carnival Cinemas,Kota 315,Kota,Rajasthan,,,
TH_330,Wave Cinemas,Thane 41,Thane,Maharashtra,,,
TH_331,Cinepolis,Bhagalpur 173,Bhagalpur,Bihar,,,
TH_332,Miraj Cinemas,Chennai 297,Chennai,Tamil Nadu,,,
TH_333,Cinepolis,Gwalior 418,Gwalior,Madhya Pradesh,,,
TH_334,Miraj Cinemas,Mangalore 417,Mangalore,Karnataka,,,
TH_335,Miraj Cinemas,Hubli 91,Hubli,Karnataka,,,
TH_336,INOX,Jalandhar 460,Jalandhar,Punjab,,,
TH_337,Carnival Cinemas,Kolkata 106,Kolkata,West Bengal,,,
TH_338,Miraj Cinemas,Udaipur 247,Udaipur,Rajasthan,,,
TH_339,Miraj Cinemas,Surat 117,Surat,Gujarat,,,
TH_340,INOX,Mumbai 332,Mumbai,Maharashtra,,,
TH_341,INOX,Madurai 482,Madurai,Tamil Nadu,,,
TH_342,INOX,Pune 6,Pune,Maharashtra,,,
TH_343,Wave Cinemas,Chennai 286,Chennai,Tamil Nadu,,,
TH_344,PVR Cinemas,Mangalore 16,Mangalore,Karnataka,,,
TH_345,Cinepolis,Hubli 466,Hubli,Karnataka,,,
TH_346,Wave Cinemas,Patna 439,Patna,Bihar,,,
TH_347,Carnival Cinemas,Mumbai 351,Mumbai,Maharashtra,,,
TH_348,Miraj Cinemas,Muzaffarpur 244,Muzaffarpur,Bihar,,,
TH_349,Wave Cinemas,Udaipur 182,Udaipur,Rajasthan,,,
TH_350,Carnival Cinemas,Vadodara 7,Vadodara,Gujarat,,,
TH_351,Wave Cinemas,Mangalore 335,Mangalore,Karnataka,,,
TH_352,Miraj Cinemas,Chennai 115,Chennai,Tamil Nadu,,,
TH_353,Cinepolis,Ludhiana 139,Ludhiana,Punjab,,,
TH_354,Wave Cinemas,Surat 491,Surat,Gujarat,,,
TH_355,Carnival Cinemas,Nashik 283,Nashik,Maharashtra,,,
TH_356,PVR Cinemas,Bhagalpur 202,Bhagalpur,Bihar,,,
TH_357,Carnival Cinemas,Chennai 330,Chennai,Tamil Nadu,,,
TH_358,INOX,Mangalore 196,Mangalore,Karnataka,,,
TH_359,PVR Cinemas,Durgapur 234,Durgapur,West Bengal,,,
TH_360,INOX,Ahmedabad 186,Ahmedabad,Gujarat,,,
TH_361,PVR Cinemas,Salem 241,Salem,Tamil Nadu,,,
TH_362,Carnival Cinemas,Bhopal 126,Bhopal,Madhya Pradesh,,,
TH_363,Cinepolis,Ujjain 5,Ujjain,Madhya Pradesh,,,
TH_364,Carnival Cinemas,Hubli 449,Hubli,Karnataka,,,
TH_365,Carnival Cinemas,Asansol 293,Asansol,West Bengal,,,
TH_366,Wave Cinemas,Purnia 500,Purnia,Bihar,,,
TH_367,Miraj Cinemas,Surat 119,Surat,Gujarat,,,
TH_368,Wave Cinemas,Bhavnagar 342,Bhavnagar,Gujarat,,,
TH_369,Miraj Cinemas,Jalandhar 42,Jalandhar,Punjab,,,
TH_370,PVR Cinemas,Howrah 47,Howrah,West Bengal,,,
TH_371,Cinepolis,Nagpur 412,Nagpur,Maharashtra,,,
TH_372,PVR Cinemas,Kota 390,Kota,Rajasthan,,,
TH_373,Cinepolis,Belgaum 110,Belgaum,Karnataka,,,
TH_374,Carnival Cinemas,Meerut 212,Meerut,Uttar Pradesh,,,
TH_375,Cinepolis,Meerut 28,Meerut,Uttar Pradesh,,,
TH_376,INOX,Ujjain 302,Ujjain,Madhya Pradesh,,,
TH_377,Miraj Cinemas,Salem 59,Salem,Tamil Nadu,,,
TH_378,INOX,Nashik 35,Nashik,Maharashtra,,,
TH_379,Wave Cinemas,Pune 248,Pune,Maharashtra,,,
